,lat,lon,depth
NM03,43.75233078,-121.302223206,1.86600005627
NM06,43.7246017456,-121.300056458,1.81700003147
NM08,43.7008514404,-121.302886963,1.8409999609
NM22,43.7252006531,-121.308998108,1.80200004578
NM40,43.7183113098,-121.279640198,1.96800005436
NM41,43.710609436,-121.291183472,1.87000000477
NM42,43.750579834,-121.279167175,2.01099991798
NN07,43.7514686584,-121.325080872,1.43200004101
NN09,43.7331581116,-121.332557678,1.42100000381
NN17,43.7207717896,-121.327537537,1.48399996758
NN18,43.7375602722,-121.302131653,1.59200000763
NN19,43.7183303833,-121.30695343,1.56299996376
NN21,43.7331886292,-121.289863586,1.69400000572
NN24,43.7320518494,-121.308868408,1.60099995136
NN32,43.7038497925,-121.32749939,1.39499998093
